,Country,Food Supply (kCal/person/day),Non-Corruption Score,Happiness Score,Murders (by 1000 people)
0,Armenia,2880.0,34.0,43.2,1.51
1,Australia,3260.0,85.0,72.0,1.23
2,Austria,3740.0,69.0,74.0,0.369
3,Belgium,3720.0,75.0,69.4,1.09
4,Bulgaria,2780.0,41.0,42.2,1.23
5,Switzerland,3380.0,86.0,77.8,0.437
6,Cyprus,2640.0,66.0,61.8,2.06
7,Czech Republic,3240.0,49.0,63.3,0.746
8,Germany,3500.0,79.0,67.0,0.493
9,Denmark,3330.0,90.0,75.2,0.312
10,Spain,3170.0,65.0,62.9,0.568
11,Estonia,3230.0,64.0,53.6,4.41
12,Finland,3320.0,90.0,74.2,1.34
13,France,3460.0,71.0,66.5,0.607
14,United Kingdom,3400.0,74.0,68.8,0.233
15,Georgia,2840.0,52.0,42.5,0.789
16,Greece,3400.0,36.0,51.0,1.3
17,"Hong Kong, China",3280.0,77.0,54.8,0.231
18,Croatia,3000.0,46.0,60.3,0.952
19,Hungary,3010.0,55.0,46.8,1.17
20,Ireland,3600.0,69.0,69.6,0.83
21,Iceland,3400.0,82.0,75.9,0.332
22,Israel,3600.0,60.0,71.1,1.8
23,Italy,3580.0,42.0,58.4,0.698
24,Jordan,3140.0,48.0,51.3,1.94
25,Japan,2740.0,74.0,59.7,0.262
26,Kyrgyz Republic,2780.0,24.0,52.1,4.79
27,South Korea,3330.0,56.0,60.0,0.983
28,Kuwait,3440.0,44.0,62.2,0.531
29,Lithuania,3390.0,54.0,57.7,3.93
30,Luxembourg,3540.0,80.0,69.6,0.188
31,Latvia,3110.0,49.0,51.3,4.98
32,Moldova,2710.0,36.0,60.0,4.98
33,North Macedonia,2930.0,43.0,46.4,1.5
34,Malta,3380.0,57.0,59.6,1.52
35,Malaysia,2900.0,49.0,59.1,0.747
36,Netherlands,3230.0,84.0,74.7,0.83
37,Norway,3500.0,85.0,76.8,0.566
38,New Zealand,3130.0,90.0,72.5,1.23
39,Poland,3440.0,58.0,58.8,0.788
40,Portugal,3470.0,63.0,49.9,0.97
41,Romania,3340.0,44.0,51.7,1.71
42,Serbia,2720.0,39.0,51.5,1.48
43,Slovak Republic,2900.0,46.0,59.1,0.909
44,Slovenia,3160.0,61.0,60.6,0.608
45,Sweden,3170.0,88.0,75.6,0.657
46,Thailand,2780.0,37.0,63.0,4.31
47,Turkey,3690.0,49.0,53.1,1.23
